Date,Title,AppID,Original Price,Discount,Final Price
2025-12-13,THE SIMS™ 2 LEGACY COLLECTION,3314070,$29.99,0%,$29.99
2025-12-13,ASSASSIN’S CREED SHADOWS,3159330,$69.99,-50%,$34.99
2025-12-13,SPACE CALIBUR,695480,No price,0%,No price
2025-12-13,MAHJONG SOUL,2739990,Free,0%,Free
2025-12-13,CASTLEVANIA: LORDS OF SHADOW – ULTIMATE EDITION,234080,$29.99,0%,$29.99
2025-12-13,FURSAN AL-AQSA: THE KNIGHTS OF THE AL-AQSA MOSQUE,1714420,$14.99,0%,$14.99
2025-12-13,TOUHOU DANMAKU KAGURA PHANTASIA LOST - EXTRA SONG PACK 5,3340370,$6.99,0%,$6.99
2025-12-13,GOD OF WAR,1593500,$49.99,0%,$49.99
