date,title,app_id,image_url,original_price,discount,final_price
2026-04-27,We Are So Cooked,4258290,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/4258290/df88f6c0e6f069a24d92587ebdab9c673bb43a18/capsule_231x87.jpg?t=1773154780,0.0,0%,0.0
2026-04-27,her tears were my light,2112520,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2112520/capsule_231x87.jpg?t=1748277818,2.99,0%,2.99
2026-04-27,Clair Obscur: Expedition 33,1903340,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1903340/001d4a5d81e4bb9055b789240e78e04ef6e6da38/capsule_231x87.jpg?t=1773676780,49.99,-20%,39.99
